gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
 152 games  +57 =77 -18   +91 Elo +/- 39   1113s   
 153 games  +58 =77 -18   +93 Elo +/- 39   1128s   
 154 games  +59 =77 -18   +95 Elo +/- 39   1129s   
 155 games  +59 =77 -19   +92 Elo +/- 39   1137s   
 156 games  +59 =77 -20   +89 Elo +/- 39   1139s   
 157 games  +59 =78 -20   +88 Elo +/- 39   1151s   
 158 games  +60 =78 -20   +90 Elo +/- 39   1151s   
 159 games  +61 =78 -20   +92 Elo +/- 39   1158s   
 160 games  +61 =79 -20   +91 Elo +/- 38   1163s   
 161 games  +61 =80 -20   +90 Elo +/- 38   1173s   
 162 games  +62 =80 -20   +92 Elo +/- 38   1178s   
 163 games  +62 =81 -20   +92 Elo +/- 38   1191s   
 164 games  +63 =81 -20   +93 Elo +/- 38   1199s   
 165 games  +64 =81 -20   +95 Elo +/- 38   1203s   
 166 games  +64 =82 -20   +94 Elo +/- 38   1204s   
 167 games  +64 =83 -20   +94 Elo +/- 37   1216s   
 168 games  +65 =83 -20   +95 Elo +/- 37   1220s   
 169 games  +66 =83 -20   +97 Elo +/- 37   1221s   
 170 games  +67 =83 -20   +99 Elo +/- 37   1231s   
 171 games  +68 =83 -20   +100 Elo +/- 37   1238s   
 172 games  +68 =83 -21   +97 Elo +/- 38   1238s   
 173 games  +68 =84 -21   +97 Elo +/- 37   1245s   
 174 games  +68 =84 -22   +94 Elo +/- 37   1254s   
 175 games  +68 =85 -22   +94 Elo +/- 37   1255s   
 176 games  +68 =86 -22   +93 Elo +/- 37   1263s   
 177 games  +68 =87 -22   +92 Elo +/- 37   1269s   
 178 games  +69 =87 -22   +94 Elo +/- 37   1279s   
 179 games  +70 =87 -22   +96 Elo +/- 37   1281s   
 180 games  +70 =87 -23   +93 Elo +/- 37   1287s   
 181 games  +71 =87 -23   +94 Elo +/- 37   1297s   
 182 games  +71 =88 -23   +94 Elo +/- 36   1304s   
 183 games  +71 =89 -23   +93 Elo +/- 36   1309s   
 184 games  +72 =89 -23   +95 Elo +/- 36   1319s   
 185 games  +72 =90 -23   +94 Elo +/- 36   1320s   
 186 games  +72 =91 -23   +94 Elo +/- 36   1332s   
 187 games  +72 =92 -23   +93 Elo +/- 36   1335s   
 188 games  +72 =93 -23   +93 Elo +/- 35   1336s   
 189 games  +73 =93 -23   +94 Elo +/- 35   1345s   
 190 games  +73 =93 -24   +92 Elo +/- 35   1348s   
 191 games  +74 =93 -24   +93 Elo +/- 35   1350s   
 192 games  +75 =93 -24   +95 Elo +/- 35   1360s   
 193 games  +75 =93 -25   +92 Elo +/- 35   1367s   
